1,1051,2.6551e+05,1.0801e+05,1.3846e+05,1.1246e+05,27293,20694,98806,1.1256e+05,2.2276e+05,2.0839e+05,1250.7,2.4779e+05,98787,6177.8,89173,2.5986e+05,48331,2.2503e+05,1.4628e+05
2,932.17,2.6262e+05,1.0708e+05,1.3353e+05,1.1078e+05,26168,18937,97440,1.1016e+05,2.2056e+05,2.0743e+05,1234.3,2.4658e+05,97395,5406.7,89157,2.5801e+05,47737,2.1994e+05,1.4476e+05
3,565.18,1.1412e+05,4590.3,3616,64886,344.15,523.3,31846,4416.7,12034,39796,277.01,10126,19460,408.25,4247.9,18933,409.17,2268,36963
4,399.24,17467,4590.3,3616,468.94,344.15,523.3,31846,1374.4,1890.9,6557.8,146.8,10126,19460,320.87,4247.9,18750,409.17,2268,36823
5,301.17,16764,4590.3,1179.9,468.94,344.15,388.55,31846,945.34,1890.9,4402.8,146.8,10126,428.85,161.74,4.8727,18750,409.17,503.06,1989.5
6,3.8593,6873.4,4590.3,570.7,468.94,82.539,20.451,3991.1,316.66,1890.9,4402.8,146.8,10126,428.85,161.74,4.8727,16389,409.17,152.19,1989.5
7,3.1012,6873.4,3658.6,570.7,468.94,4.4192,20.451,3991.1,173.86,1890.9,676.49,146.8,10126,428.85,161.74,4.8727,7501,409.17,152.19,1989.5
8,3.1012,3320.1,2390.1,570.7,213.85,4.4192,20.451,3991.1,173.86,1297.8,676.49,36.841,732.26,428.85,161.74,4.8727,7501,336.44,108.7,1989.5
9,3.1012,3320.1,1926.5,570.7,213.85,4.4192,20.451,439.98,173.86,1297.8,676.49,36.841,732.26,428.85,161.74,4.8727,815.63,6.5665,108.7,1894.4
10,3.1012,3320.1,1926.5,570.7,213.85,4.4192,20.451,439.98,152.54,987.97,676.49,36.841,732.26,428.85,149,4.8727,815.63,6.5665,20.379,314.04
11,3.1012,3320.1,372.35,570.7,213.85,4.4192,20.451,439.98,17.323,987.97,538.54,36.841,732.26,428.85,149,4.8727,815.63,6.5665,20.379,202.01
12,3.1012,3320.1,372.35,537.96,213.85,4.4192,20.451,439.98,17.323,38.474,538.54,12.412,131.65,428.85,134.21,4.8727,531.36,6.5665,20.379,202.01
13,2.2002,3022.9,372.35,537.96,213.85,4.4192,20.451,439.98,17.323,38.474,77.224,12.412,131.65,428.85,14.782,4.8727,531.36,6.5665,20.379,202.01
14,2.0083,755.85,372.35,537.96,213.85,4.4192,20.451,439.98,17.323,38.474,77.224,12.412,131.65,428.85,14.782,4.8727,531.36,6.5665,20.379,202.01
15,2.0083,579.94,372.35,537.96,139.07,4.4192,20.451,192.75,17.323,38.474,77.224,7.5768,131.65,115.72,3.7237,1.1764,531.36,6.5665,20.379,202.01
16,2.0083,579.94,215.9,201.71,139.07,4.4192,20.451,192.75,17.323,38.474,12.711,2.2221,131.65,115.72,3.7237,1.1764,531.36,5.8728,20.379,202.01
17,0.90152,387.7,215.9,129.54,139.07,4.4192,20.451,192.75,17.323,38.474,12.711,0.33407,31.763,115.72,3.7237,1.1764,73.986,5.8728,20.379,24.867
18,0.90152,387.7,215.9,98.413,139.07,4.4192,20.451,91.022,2.4551,38.474,12.711,0.33407,31.763,115.72,3.7237,0.7485,73.986,5.8728,20.379,24.867
19,0.90152,333.91,215.9,60.815,139.07,4.4192,20.451,91.022,2.4551,38.474,12.711,0.33407,24.924,115.72,3.7237,0.7485,73.986,5.8728,20.379,24.867
20,0.90152,333.91,215.9,16.552,139.07,4.4192,20.451,91.022,2.4551,38.474,12.711,0.33407,16.44,115.72,3.7237,0.7485,73.986,5.8728,3.9627,24.867
